#{"t_start": 1698161511.2554758, "env_id": "plainCPGEnv-v1"}
r,l,t
-1789.269053,806,1.674943
-3509.945468,823,2.407265
-3653.564497,1460,3.610491
-3833.313677,987,4.461708
-3685.716915,1212,5.502709
-2538.165175,836,6.241633
-2413.478463,742,6.947715
-2107.004611,962,7.824967
-2287.005918,696,8.456219
-4118.637368,1746,9.88741
-3849.976603,1902,11.402137
-3263.339505,1708,12.781115
-3509.437791,2224,14.567196
-3636.931883,1754,16.321084
-3926.60632,2975,18.660969
-2695.847961,1226,19.70058
-3605.068028,910,20.486415
-2706.317525,1920,22.044755
-4137.559785,2044,23.689587
-1224.182631,1776,25.121828
-4605.592129,2524,27.140647
-3499.77461,967,27.967479
-3696.363966,1750,29.746215
-4455.16591,3023,32.156947
-4417.802566,2216,33.939217
-3805.394291,1877,35.478481
-1846.059487,759,36.146855
-2921.899297,1614,37.457066
-3779.414237,2080,39.152744
-1507.991095,520,39.634178
-3703.360038,1362,40.775132
-3035.832216,898,41.550881
-2568.745113,525,42.035746
-4041.324152,2002,43.979148
-2338.848142,619,44.535232
-3489.950234,1065,45.431647
-3045.390865,698,46.059308
-2351.814158,620,46.626643
-3902.631095,1681,48.008592
-3622.586518,1221,49.039339
-2807.826966,1013,49.917218
-3808.224506,1944,51.497278
-2452.249386,1078,52.41325
-1035.506631,1176,53.399228
-4006.702672,1945,54.970795
-2741.174317,1052,55.858155
-1510.318948,3297,58.797277
-743.986026,1491,60.027092
-4142.672354,3244,62.590971
-822.287635,662,63.175217
-4925.878169,3672,66.090034
-3752.447218,2454,68.052087
-3640.205236,2178,70.138276
-3850.95576,1217,71.159255
-1439.491124,1592,72.454551
-4450.818752,3229,75.00544
-1540.751441,1103,75.923874
-1802.75652,4713,79.607856
-1054.301274,494,80.069091
-3287.362212,1041,80.951184
-3751.286738,1091,81.876437
-2866.727071,2162,83.944041
-1682.824589,471,84.400162
-415.856009,1716,85.798107
-2249.92588,1212,86.80619
-2892.79716,1202,87.807251
-4305.283629,1713,89.207268
2795.917793,2600,91.286032
-371.867617,1214,92.303186
709.565896,2849,94.58147
2186.062515,5001,98.849801
-826.145974,815,99.557666
-3664.58479,2874,101.852669
2278.21393,1962,103.441627
-3994.474652,1538,104.724283
-2628.456823,2347,106.606021
340.312031,2295,108.432433
-1220.767309,1861,109.962612
-1373.050263,843,111.02691
-848.346793,1207,112.046091
6832.612423,5001,115.940816
-2418.943723,945,116.751425
-354.562794,3443,119.479028
534.872958,2912,121.813654
8279.469785,5001,126.103803
-876.581064,536,126.603391
5175.85874,3728,129.786918
-1160.123849,1260,130.950666
9857.201748,4802,134.920846
371.894457,1028,135.814054
-289.05329,1253,136.864144
-1293.122896,3660,140.125601
9041.375414,5001,144.058282
12103.302763,5001,148.086366
3165.54231,2752,150.370788
